id,filename,name,hash,cropped_filename,fingerprints,labels,cropped_fingerprints,cropped_labels,cluster
e299f03012305a8c021d39af3c52bc601a2ea8e35f67548dde9dc0ce7182bd48,./data/Absurd_Aztec_memes-152.jpg,Absurd_Aztec_memes-152,e299f03012305a8c021d39af3c52bc601a2ea8e35f67548dde9dc0ce7182bd48,./data/cropped/Absurd_Aztec_memes-152.jpg,[0.11749239 0.621819   0.22346535 ... 0.04887538 0.8005719  0.27611557],"[['French_horn', 0.12938745], ['hair_slide', 0.08593889], ['nematode', 0.07708396], ['nail', 0.06642899], ['face_powder', 0.06251221]]",[0.21438299 0.6738802  0.         ... 0.19210078 1.2310952  1.1330429 ],"[['gong', 0.3937343], ['shield', 0.21965626], ['chime', 0.1948457], ['French_horn', 0.04884801], ['bolo_tie', 0.035030562]]",48
4d95579e6e5a0833747ca47a8e1721f14b1c81c11294f7ed4416f261b518bbca,./data/Absurd_Aztec_memes-2.jpg,Absurd_Aztec_memes-2,4d95579e6e5a0833747ca47a8e1721f14b1c81c11294f7ed4416f261b518bbca,./data/cropped/Absurd_Aztec_memes-2.jpg,[0.04206837 0.44050527 0.         ... 0.05786872 0.791467   0.7454894 ],"[['comic_book', 0.78301597], ['book_jacket', 0.035436682], ['apron', 0.032403182], ['jersey', 0.022344245], ['binder', 0.010731171]]",[0.00755658 0.81478137 0.         ... 0.06353709 1.4838372  0.6783981 ],"[['comic_book', 0.9179551], ['book_jacket', 0.044742696], ['jigsaw_puzzle', 0.006845469], ['coffee_mug', 0.003085801], ['buckle', 0.0020255123]]",34
bd13f6a220a8d4bd7337919f8621553f16178d2203317232f29b39c852b14e9a,./data/Absurd_Aztec_memes-42.jpg,Absurd_Aztec_memes-42,bd13f6a220a8d4bd7337919f8621553f16178d2203317232f29b39c852b14e9a,./data/cropped/Absurd_Aztec_memes-42.jpg,[0.04085826 0.06381285 0.44080412 ... 0.09406593 0.6127147  0.765424  ],"[['comic_book', 0.16101041], ['book_jacket', 0.13506491], ['dragonfly', 0.106606975], ['safety_pin', 0.10568751], ['barn_spider', 0.063545264]]",[0.06142863 0.1086485  0.44389957 ... 0.0151647  0.74474114 0.23689914],"[['book_jacket', 0.3397258], ['jigsaw_puzzle', 0.24691759], ['comic_book', 0.091258585], ['house_finch', 0.057228383], ['barn_spider', 0.038381144]]",24
31641016947155fed5c0bbb97280dedb926e824ee19e339fb22529d15306fe83,./data/Absurd_Aztec_memes-61.jpg,Absurd_Aztec_memes-61,31641016947155fed5c0bbb97280dedb926e824ee19e339fb22529d15306fe83,./data/cropped/Absurd_Aztec_memes-61.jpg,[0.43349656 0.7162138  0.         ... 0.74387455 0.8648034  0.33582208],"[['comic_book', 0.31678444], ['oboe', 0.20203118], ['altar', 0.10498846], ['bow', 0.10302096], ['book_jacket', 0.04295216]]",[0.23067525 0.65197587 0.         ... 1.7577296  0.78038985 0.10642287],"[['comic_book', 0.9512825], ['book_jacket', 0.024092972], ['bow', 0.011566661], ['web_site', 0.003722502], ['altar', 0.0030336112]]",34
1dec27fe05f60bf46e8093a09b5439d59ad28b9139fbbc769cbc01cfc9845136,./data/Absurd_Aztec_memes-94.png,Absurd_Aztec_memes-94,1dec27fe05f60bf46e8093a09b5439d59ad28b9139fbbc769cbc01cfc9845136,./data/cropped/Absurd_Aztec_memes-94.jpg,[0.08363514 0.4122102  0.         ... 0.32959387 0.10380143 0.07844255],"[['web_site', 0.90868574], ['crossword_puzzle', 0.014069571], ['remote_control', 0.0065855924], ['analog_clock', 0.0054306355], ['envelope', 0.004409092]]",[0.         0.00247341 0.         ... 0.5093861  0.07464745 0.        ],"[['digital_clock', 0.6183385], ['tray', 0.16803414], ['wall_clock', 0.03530938], ['rule', 0.017271865], ['web_site', 0.01711028]]",51
704058fa9cd2b5d6ab3f8a4f956d3c24d3364e8f7c97dd32fa87a4d902616507,./data/Amazing_American_Memes-12.jpg,Amazing_American_Memes-12,704058fa9cd2b5d6ab3f8a4f956d3c24d3364e8f7c97dd32fa87a4d902616507,./data/cropped/Amazing_American_Memes-12.jpg,[0.22994037 0.42957354 0.03954865 ... 0.01947141 0.13965176 0.45921862],"[['web_site', 0.6484848], ['jigsaw_puzzle', 0.07385049], ['comic_book', 0.046104137], ['swimming_trunks', 0.019034514], ['volleyball', 0.016537324]]",[0.31446677 0.80230474 0.03963887 ... 0.38599607 0.14833339 1.43997   ],"[['bow', 0.18713741], ['West_Highland_white_terrier', 0.13821115], ['paintbrush', 0.10735407], ['monitor', 0.058096886], ['jigsaw_puzzle', 0.045293346]]",53
16a86be31dc622f716fc9d0e08c16f9c503646c734ea10c18eb2615fae6baec6,./data/Amazing_American_Memes-123.jpg,Amazing_American_Memes-123,16a86be31dc622f716fc9d0e08c16f9c503646c734ea10c18eb2615fae6baec6,./data/cropped/Amazing_American_Memes-123.jpg,[0.26743668 1.086944   0.         ... 0.01386747 0.         0.56159693],"[['quilt', 0.26957327], ['pillow', 0.102769785], ['prayer_rug', 0.08209494], ['dishrag', 0.07032689], ['shower_curtain', 0.043273825]]",[0.11968546 1.06816    0.         ... 0.28542268 0.         0.59877115],"[['prayer_rug', 0.23468296], ['wool', 0.09114442], ['crossword_puzzle', 0.06982702], ['dishrag', 0.06862968], ['Windsor_tie', 0.057455834]]",42
6f60f4216a7a70b1ab22f918aa7a61a523c682ec831f9c2f351bccd0895795f1,./data/Amazing_American_Memes-124.jpg,Amazing_American_Memes-124,6f60f4216a7a70b1ab22f918aa7a61a523c682ec831f9c2f351bccd0895795f1,./data/cropped/Amazing_American_Memes-124.jpg,[3.1562874  3.421393   0.9643796  ... 0.         0.31032068 3.346572  ],"[['web_site', 0.9846095], ['pug', 0.0064738933], ['vizsla', 0.0033025984], ['Windsor_tie', 0.0013798523], ['tick', 0.00042144087]]",[3.6516843  4.398444   1.3992956  ... 0.         0.15707363 4.2727594 ],"[['web_site', 0.9746327], ['pug', 0.011145292], ['vizsla', 0.0078586405], ['tick', 0.0017063242], ['curly-coated_retriever', 0.0012560821]]",50
46ad1461d9dfb6e44190e21c43c6fc12bb329fce092636e9175f0d009b247175,./data/Amazing_American_Memes-135.jpg,Amazing_American_Memes-135,46ad1461d9dfb6e44190e21c43c6fc12bb329fce092636e9175f0d009b247175,./data/cropped/Amazing_American_Memes-135.jpg,[0.00617191 0.81278026 0.         ... 0.16543253 0.1601729  0.47508103],"[['football_helmet', 0.6030191], ['crash_helmet', 0.3441714], ['web_site', 0.014434187], ['ocarina', 0.007828223], ['buckle', 0.0040725223]]",[0.12648024 0.         0.08142591 ... 0.3813088  0.10726023 0.5011947 ],"[['hair_slide', 0.9837911], ['speedboat', 0.0048528025], ['letter_opener', 0.004436214], ['ski', 0.0023613507], ['crash_helmet', 0.0012418252]]",26
4cbf87dec52ca9db1b3a55c9e84af59f87a45aedb05ee6dee4fffca5ecb88481,./data/Amazing_American_Memes-197.jpg,Amazing_American_Memes-197,4cbf87dec52ca9db1b3a55c9e84af59f87a45aedb05ee6dee4fffca5ecb88481,./data/cropped/Amazing_American_Memes-197.jpg,"[0.0000000e+00 1.2263887e-01 1.3039282e-03 ... 1.3816619e+00 7.7756085e-03
 2.6352820e-01]","[['vending_machine', 0.45100793], ['syringe', 0.20058489], ['pop_bottle', 0.16928692], ['water_bottle', 0.096827194], ['grocery_store', 0.01687504]]",[0.         0.18883348 0.02620927 ... 1.1425016  0.04220365 0.8329427 ],"[['syringe', 0.50771946], ['vending_machine', 0.14061771], ['tobacco_shop', 0.13024426], ['screwdriver', 0.102417044], ['ballpoint', 0.040794402]]",23
9e3025fb5e2302a6962c2b0782647400533ee621423f75b6af169b243860fb5f,./data/Amazing_American_Memes-207.png,Amazing_American_Memes-207,9e3025fb5e2302a6962c2b0782647400533ee621423f75b6af169b243860fb5f,./data/cropped/Amazing_American_Memes-207.jpg,[0.10081773 3.0820932  0.11278158 ... 0.42424762 3.9133854  0.29753137],"[['slot', 0.82646734], ['cellular_telephone', 0.06525782], ['digital_watch', 0.02811644], ['vending_machine', 0.01944883], ['cash_machine', 0.0091698645]]",[0.08583694 2.330442   0.02905616 ... 0.65965956 4.0086317  0.44591016],"[['slot', 0.97266644], ['vending_machine', 0.010700116], ['mask', 0.0040658326], ['altar', 0.0035047662], ['cash_machine', 0.0029767351]]",72
